Year,Event,Location,1st Place Time,1st Place Location,2nd Place Time,2nd Place Location,3rd Place Time,3rd Place Location,4th Place Time,4th Place Location,5th Place Time,5th Place Location,6th Place Time,6th Place Location
2015,2015 World Rowing Cup II,"Varese, ITA",05:43.130,GBR,05:44.270,GER1,05:45.450,CAN,05:46.000,POL,05:46.700,AUS,05:49.870,SUI
2015,2015 World Rowing Cup I,"Bled, SLO",05:44.640,GER1,05:47.050,CHN,05:47.610,FRA,05:47.670,SUI,05:50.970,POL,05:58.870,CZE
2015,2015 European Rowing Championships,"Poznan, POL",05:45.610,RUS,05:46.260,UKR,05:46.890,GBR,05:48.370,POL,05:49.050,LTU,05:49.340,GER
2014,2014 World Rowing Championships,"Amsterdam, NED",05:32.260,UKR,05:32.350,GBR,05:36.970,GER,05:37.350,CHN,05:40.920,EST,05:46.580,SUI
2014,2014 World Rowing Cup III,"Lucerne, SUI",05:50.990,GBR,05:52.370,EST,05:54.730,USA,05:55.080,NZL,05:55.320,POL,05:57.730,GER
2014,2014 World Rowing Cup II,"Aiguebelette, FRA",05:44.400,GBR,05:46.490,GER,05:47.470,CAN,05:47.630,CHN,05:49.660,EST,05:51.130,CZE
2014,2014 World Rowing Cup I,"Sydney, AUS",05:50.680,AUS1,05:52.130,CHN,05:53.020,AUS2,06:09.620,RUS,,,,
2014,2014 European Rowing Championships,"Belgrade, SRB",05:41.920,UKR,05:42.190,GBR,05:42.830,GER,05:43.050,RUS,05:47.940,POL,05:48.090,EST
2013,2013 World Rowing Championships,"Chungju, KOR",05:53.570,CRO,05:54.390,GER,05:54.780,GBR,05:55.430,UKR,06:01.370,EST,06:01.860,SUI
2013,2013 World Rowing Cup III,"Lucerne, SUI",05:39.630,CRO,05:41.780,GER,05:44.480,EST,05:48.460,GBR,05:50.780,RUS,05:52.780,POL
2013,2013 World Rowing Cup II,"Eton, GBR",05:37.340,CRO,05:40.840,GER,05:44.170,EST,05:48.510,AUS,05:48.960,GBR,05:59.090,NED
2013,2013 World Rowing Cup I,"Sydney, AUS",05:49.930,GBR,05:53.200,NZL,05:56.690,AUS1,06:07.180,AUS2,,,,
2013,2013 European Championships,"Seville, ESP",06:07.410,GER,06:09.510,POL,06:09.590,ITA,06:11.460,UKR,06:11.840,SUI,06:15.110,CRO
2012,2012 Olympic Games,"London, GBR",05:42.480,GER,05:44.780,CRO,05:45.220,AUS,05:46.960,EST,05:49.190,GBR,05:51.740,POL
2012,2012 World Rowing Cup III,"Munich, GER",05:56.220,CRO,05:58.850,GER,06:00.280,ITA1,06:01.060,GBR,06:01.240,AUS,06:03.680,EST
2012,2012 World Rowing Cup II,"Lucerne, SUI",05:42.420,CRO,05:43.220,GER,05:44.610,RUS,05:45.050,EST,05:49.350,NZL,05:50.980,POL
2012,2012 World Rowing Cup I,"Belgrade, SRB",05:46.730,CRO,05:47.770,GER,05:50.820,EST,05:55.090,FRA,05:59.040,ITA,06:01.700,RUS
2012,2012 European Championships,"Varese, ITA",05:47.910,EST,05:51.180,UKR,05:52.010,SLO,05:53.030,RUS,05:55.530,CZE,05:59.020,ITA
2011,2011 World Rowing Championships,"Bled, SLO",05:39.310,AUS,05:39.560,GER,05:42.820,CRO,05:45.340,POL,05:49.470,RUS,05:53.280,ITA
2011,2011 World Rowing Cup III,"Lucerne, SUI",05:47.480,GER,05:51.140,GBR,05:51.710,AUS,05:54.060,SUI,05:54.470,CRO,05:56.630,NZL
2011,2011 World Rowing Cup II,"Hamburg, GER",05:50.100,CRO,05:50.930,GER,05:56.970,RUS,05:58.540,SUI,06:01.950,CZE,06:05.490,DEN
2011,2011 World Rowing Cup I,"Munich, GER",05:43.790,GER,05:46.350,CRO,05:46.600,UKR1,05:47.280,GBR,05:56.110,POL,05:56.380,FRA
2011,2011 European Championships,"Plovdiv, BUL",05:45.170,RUS,05:47.070,EST,05:51.000,POL,05:52.500,ITA,05:53.270,UKR,05:53.650,CZE
2010,2010 World Rowing Championships,"Karapiro, NZL",06:15.780,CRO,06:17.040,ITA,06:18.930,AUS,06:19.530,GER,06:26.230,GBR,06:34.900,RUS
2010,2010 World Rowing Cup III,"Lucerne, SUI",05:47.240,CRO,05:47.500,GER,05:52.420,GBR,05:53.430,RUS,05:59.460,AUS,06:18.500,UKR
2010,2010 World Rowing Cup II,"Munich, GER",05:49.910,CRO,05:52.310,GER,05:54.170,GBR,05:55.810,AUS,05:57.370,RUS,06:00.470,POL
2010,2010 World Rowing Cup I,"Bled, SLO",05:51.490,CRO,05:55.160,ITA,05:57.260,POL,05:58.360,RUS,05:59.560,UKR,06:07.230,SLO
