Year,Event,Location,1st Place Time,1st Place Location,2nd Place Time,2nd Place Location,3rd Place Time,3rd Place Location,4th Place Time,4th Place Location,5th Place Time,5th Place Location,6th Place Time,6th Place Location
2004,2004 World Rowing Cup I,"Poznan, POL",05:57.170,DEN,05:59.100,GER1,06:00.390,RUS,06:00.820,GER2,06:02.730,POL,06:03.140,GER3
2003,2003 World Rowing Championships,"Milan, ITA",06:10.460,DEN,06:12.240,NED,06:13.040,ITA,06:13.500,GER,06:14.070,CAN,06:16.280,IRL
2003,2003 World Rowing Cup III,"Lucerne, SUI",05:51.950,ITA,05:51.970,CAN,05:52.230,DEN,05:54.370,NED,05:55.660,GER,05:59.980,AUS1
2003,2003 World Rowing Cup II,"Munich, GER",06:07.950,DEN1,06:08.310,NED,06:11.680,GER1,06:13.520,AUT,06:14.630,USA,06:16.970,CHI
2003,2003 World Rowing Cup I,"Milan, ITA",05:55.150,ITA,05:56.760,DEN1,05:58.250,USA,05:58.560,AUT,06:01.610,FRA,06:06.420,CHN
2002,2002 World Rowing Championships,"Seville, ESP",05:47.210,DEN,05:49.410,ITA,05:50.550,CAN,05:51.740,AUS,05:52.470,GER,05:58.700,FRA
2002,2002 World Rowing Cup III,"Munich, GER",05:58.150,DEN,05:59.840,AUS,06:01.880,AUT,06:02.990,GER,06:03.710,FRA,06:06.370,NED
2002,2002 World Rowing Cup II,"Lucerne, SUI",05:55.510,CAN,05:57.420,ITA,05:57.480,AUT,05:57.570,FRA,06:00.530,GER,06:03.480,GBR
2002,2002 World Rowing Cup I,"Hazewinkel, BEL",05:57.170,DEN,05:58.220,ITA,06:00.570,AUT,06:02.460,FRA,06:03.520,GBR,00:00.000,GER1
2001,2001 World Rowing Championships,"Lucerne, SUI",05:53.550,AUT,05:54.360,DEN,05:55.550,FRA,05:57.940,ITA,05:59.690,CAN,05:59.850,NED
2001,2001 World Rowing Cup III,"Vienna, AUT",06:57.420,DEN,07:07.820,AUT,07:12.320,GRE,07:29.550,CHN,,,,
2001,2001 World Rowing Cup II,"Seville, ESP",06:09.210,FRA1,06:10.890,ITA,06:13.220,NED,06:16.390,AUT,06:17.750,FRA2,06:17.980,GRE
2001,2001 World Rowing Cup I,"New Jersey, USA",05:54.030,DEN,05:57.440,FRA,05:59.010,CAN,06:02.800,AUT,06:07.810,GBR,06:18.180,BRA
