Year,Event,Location,1st Place Time,1st Place Location,2nd Place Time,2nd Place Location,3rd Place Time,3rd Place Location,4th Place Time,4th Place Location,5th Place Time,5th Place Location,6th Place Time,6th Place Location
2003,2003 World Rowing Cup II,"Munich, GER",GBR,06:31.900,SLO,06:31.980,AUT,06:43.790,UKR,06:59.620,GER2,06:34.080,POL,06:37.120
2003,2003 World Rowing Cup I,"Milan, ITA",FRA,06:13.090,CZE,06:14.360,UKR,06:18.520,NED,06:21.310,ITA1,06:21.910,HUN,06:26.590
2002,2002 World Rowing Championships,"Seville, ESP",HUN,06:05.740,ITA,06:06.930,GER,06:07.770,AUS,06:08.820,CZE,06:14.790,GBR,06:16.540
2002,2002 World Rowing Cup III,"Munich, GER",CZE,06:15.740,HUN,06:15.790,AUS,06:18.160,FRA,06:20.360,UKR,06:25.210,GER1,06:25.490
2002,2002 World Rowing Cup II,"Lucerne, SUI",HUN,06:22.550,CZE,06:24.420,GER1,06:27.620,POL2,06:28.160,LTU,06:29.790,GER2,06:30.280
2002,2002 World Rowing Cup I,"Hazewinkel, BEL",HUN,06:18.030,CZE,06:20.290,GER,06:20.700,ITA1,06:24.860,SLO,06:25.440,ESP,06:28.300
2001,2001 World Rowing Championships,"Lucerne, SUI",HUN,06:14.160,FRA,06:14.290,ITA,06:14.430,CUB,06:19.100,SLO,06:24.760,GER,06:30.100
2001,2001 World Rowing Cup III,"Vienna, AUT",HUN,07:30.920,SUI,07:32.420,CUB,07:33.660,GBR,07:35.150,POL,07:39.500,AUT,07:42.900
2001,2001 World Rowing Cup II,"Seville, ESP",HUN,06:31.330,ITA1,06:34.630,CUB,06:39.440,SUI,06:42.690,GBR,06:44.020,GER,06:44.030
2001,2001 World Rowing Cup I,"New Jersey, USA",BEL,06:26.970,SUI,06:27.290,BRA1,06:30.200,CAN,06:30.260,EST,06:36.660,ESP,06:39.510
